['https://xjh.haitou.cc/wh/uni-6/page-1', 'https://xjh.haitou.cc/wh/uni-2/page-1', 'https://xjh.haitou.cc/wh/uni-1/page-1', 'https://xjh.haitou.cc/wh/uni-3/page-1']
+--------------------+------------+----------+----------------------------------------+--------------------------------------------+---------------------------------------------+
|        日期        |    专业    |   学校   |                  公司                  |                  宣讲地点                  |                     链接                    |
|  2017-10-19 14:30  |  图像识别  |  华中大  |  武汉市豪迈电力自动化技术有限责任公司  |            电气学院西九楼224室             |  https://xjh.haitou.cc/article/523105.html  |
|  2017-10-19 15:00  |    数据    |  华中大  |       达疆网络科技(上海)有限公司       |            大学生活动中心603室             |  https://xjh.haitou.cc/article/474082.html  |
|  2017-10-19 15:00  |    测绘    |  华中大  |         苏交科集团股份有限公司         |          土木学院南二楼学术报告厅          |  https://xjh.haitou.cc/article/499363.html  |
|  2017-10-19 16:30  |    数据    |  华中大  |           中国工程物理研究院           |               光电学院报告厅               |  https://xjh.haitou.cc/article/533183.html  |
|  2017-10-19 18:00  |    数据    |  华中大  |          宁波方太厨具有限公司          |               机械学院报告厅               |  https://xjh.haitou.cc/article/478882.html  |
|  2017-10-18 18:00  |    数据    |  理工大  |       潮州三环(集团)股份有限公司       |   马房山校区西院材料研究与测试中心报告厅   |  https://xjh.haitou.cc/article/534366.html  |
|  2017-10-18 19:00  |    数据    |  理工大  |     深圳市东风南方实业集团有限公司     |        马房山校区东院就业大楼二号厅        |  https://xjh.haitou.cc/article/504210.html  |
|  2017-10-18 19:00  |    数据    |  理工大  |          南京帆软软件有限公司          |     马房山校区南湖理学院院办312会议室      |  https://xjh.haitou.cc/article/529846.html  |
|  2017-10-19 08:00  |  图像识别  |  理工大  |          深圳一电科技有限公司          |        马房山校区鉴主教学楼401教室         |  https://xjh.haitou.cc/article/498801.html  |
|  2017-10-19 09:00  |    数据    |  理工大  |   上海光联通讯技术有限公司武汉分公司   |        马房山校区东院就业大楼三号厅        |  https://xjh.haitou.cc/article/498873.html  |
|  2017-10-19 09:00  |    数据    |  理工大  |          中兴智能汽车有限公司          |        马房山校区东院汽院大楼A501室        |  https://xjh.haitou.cc/article/529806.html  |
|  2017-10-19 09:00  |    数据    |  理工大  |    深圳市综合交通设计研究院有限公司    |         余家头校区交通学院大会议室         |  https://xjh.haitou.cc/article/529859.html  |
|  2017-10-19 09:30  |    数据    |  理工大  |         太极计算机股份有限公司         |      马房山校区东院就业大楼205会议室       |  https://xjh.haitou.cc/article/518106.html  |
|  2017-10-19 12:00  |    数据    |  理工大  |       深圳市赢合科技股份有限公司       |       马房山校区东院综合楼306报告厅        |  https://xjh.haitou.cc/article/532663.html  |
|  2017-10-19 14:00  |    数据    |  理工大  |          康佳集团股份有限公司          |      马房山校区鉴湖鉴主16楼学术报告厅      |  https://xjh.haitou.cc/article/529754.html  |
+--------------------+------------+----------+----------------------------------------+--------------------------------------------+---------------------------------------------+
